id,tweet,subtask_c,tweet_cleaned,subtask_c_ii,subtask_c_iii
46139,"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. URL",GRP,its not about our disagreements with  its that conservatives cant debate honestly and they have no integrity whatever gets them thru today is all that matters to them theyre fundamentally dishonest people,OTH,GRP
40386,@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.,GRP,then why aren’t there so many shootings in virginia  jacksonville shooter got his guns in maryland among the poster children for gun control  what good did that do  you’re full of crap,OTH,GRP
98916,"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL",OTH,are bedfellows with the democratic socialists of america dsa who  has exposed as being inserted throughout government attempting to bring down,OTH,OTH
32190,@USER Antifa has TS level influence. It's scary.,OTH,antifa has ts level influence its scary,OTH,OTH
27550,"@USER I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.",IND,i have three accounts two quasianonymous and one completely anon and if twitter ever bans one of the quasianon ill make two anon accounts and tweet the most insane shit i will drown twitter in bullshit if one of those is banned ill make even more,IND,
24040,#Liberals are so pathetic!  INNOCENT UNTIL PROVEN GUILTY mean much?  #Democrats should look at their own party if they need a rapist to hang!  #KavanaughIsInnocent #WalkAwayFromDemocrats. #LiberalLies are straight from the Pitts of HELL 🔥 URL,GRP,are so pathetic  innocent until proven guilty mean much   should look at their own party if they need a rapist to hang     are straight from the pitts of hell,OTH,GRP
73516,"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL",IND,10 million reallocated from fema to ice this guy gives zero shits about anyone not named trump if you’re in the mid atlantic get out now,IND,
88905,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,IND,please ban this cheating scum  he is literally invisible,IND,
42112,#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.,GRP,the conversation about this is so unattractive the creator says he didnt create a character gay and he is being attacked,OTH,GRP
37740,#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to...,IND,is so full of herselfshe is just as painful to watch as to listen to,IND,
72405,"#ColinKapernaeck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",IND,has done nothing but sit on his ass and complain it’s time black people and die hard white liberals who think they are down with the cause aka  to wake the heck up or stfu colin is not a civil rights hero or martyr no where near it,IND,
47445,". JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS  . URL",OTH,jeff sessions ‘listen to the aclu antifa black lives matter’ if you want more chicago shootings,OTH,OTH
27158,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,OTH,amazon will ship live christmas trees to your door — but will they stay and put on the damn lights,OTH,OTH
17183,@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,IND,i bet she is a lot safer when she has sex now tho  or she wouldn’t have just one but a few kids  why cant moms get dicked down too,IND,
42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL,OTH,govt   made my life hell whistleblowers say they were threatened by regulator i thought this govt promised to protect whistleblowers,OTH,OTH
15180,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,IND,please ban this cheating scum  he is literally invisible,IND,
58026,#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL,IND,ellison accuser says shes been sidelined by her own party,IND,
81352,#BoycottNFL .@USER You are dead to me. @USER @USER URL,IND,you are dead to me,IND,
33133,"@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL",IND,michelle was there 8 years and we sure dont need any more bad advice from her now we have a new sheriff in town whos    get out and vote  all colors all genders aka all americans,IND,
91036,#BlaseyFord It’s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to Ford testifying they say it’s unfair to have more men asking her questions. Which is it Dems are women equal or should we receive special treatment?,GRP,it’s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to ford testifying they say it’s unfair to have more men asking her questions which is it dems are women equal or should we receive special treatment,OTH,GRP
22882,"#Ted always has a feel for the most appropriate public behavior. But, often, he is unable to control himself. #GOPDysfunction URL",IND,always has a feel for the most appropriate public behavior but often he is unable to control himself,IND,
40842,"@USER  Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!",IND,stick to comedy  you werent that funny yo start with but that political commentary of yours is pathetic,IND,
73612,@USER #Holder needed to be impeached,IND,needed to be impeached,IND,
15815,#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture,GRP,just when i think things cant get dumber this happens liberals probably dont realize this because they are children but this isnt equality how about we treat women an men the same pretty sure thatll have better results for culture,OTH,GRP
24049,#SierraBurgessIsALoser  She is me when my phone dings 😂,IND,she is me when my phone dings,IND,
79204,@USER #metoo are all racist!,GRP,are all racist,OTH,GRP
46229,#GOP still acting like the wimps they are.. What!? they haven’t yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or they’re just tilted to far left.. #ConfirmKavanaughNow,GRP,still acting like the wimps they are what they haven’t yet realized that liberals will hate them regardless of their sentiments either republicans are just too stupid to get out of their own way or they’re just tilted to far left,OTH,GRP
34669,#DregsOfSociety  ??? #Deplorables   Liberals usually dehumanize those they want to exterminate later URL,GRP,liberals usually dehumanize those they want to exterminate later,OTH,GRP
34575,#EmmyAwards2018 - Ratings tank as expected.  Who can possibly stand to watch so many liberals in one place at one time.,GRP,ratings tank as expected  who can possibly stand to watch so many liberals in one place at one time,OTH,GRP
20357,@USER #Gutierrez has always been nothing more than a #racebaiter,IND,has always been nothing more than a,IND,
52445,"#Elitist #Actors #NBC #Liberals of #Dems in #Hollywood at the #Emmy Awards a 'toothless' #NBC self-promotion onslaught peppered with #MeToo cracks but it was planned, staged and okay because they are #Democrats #Socialist #Liberals of the #Left #WALKAWAY ! URL",IND,of  in  at the  awards a toothless  selfpromotion onslaught peppered with  cracks but it was planned staged and okay because they are    of the,IND,
10991,#DrFord  #DearProfessorFord  Is a FRAUD Female @USER group paid for and organized by #GeorgeSoros URL,IND,is a fraud female  group paid for and organized by,IND,
57135,"#BlueWave #DumpTrump …give my love 2, or cooperate/compromise w/, conservatives/Trump supporters who constantly vilify marginalized groups, who constantly attack women’s rights 2 make choices about their own bodies,…",GRP,…give my love 2 or cooperatecompromise w conservativestrump supporters who constantly vilify marginalized groups who constantly attack women’s rights 2 make choices about their own bodies…,OTH,GRP
72369,#NightMayor 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshi’s communist vape shop!,IND,s dt cycle track can easily open antifa tennis courts inside crescent heights until we are able to trash nenshi’s communist vape shop,IND,
42192,#ArunJaitleyStepDown He is most shameless #FM in history of India and audacity and shamelessness with which is lies in public is disgrace to post.,GRP,he is most shameless  in history of india and audacity and shamelessness with which is lies in public is disgrace to post,OTH,GRP
43587,"#Conservatives £2 bn Housing on-trick @USER -  What a crock of sh#te""! @USER #HousingCrisis  URL",IND,£2 bn housing ontrick    what a crock of sh,IND,
41553,#Coupdetat of #Spain in #Catalona. #Spain is a  #fakedemocracy @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cddr #shameonSpain #WakeupEurope @USER @USER URL,GRP,of  in   is a,OTH,GRP
62986,"#Liberalismisamentaldisorder, but it is also a danger to our country. #Liberals are showing themselves to be utterly hateful. They do not CARE about TRUTH, they only care about POWER.",OTH,but it is also a danger to our country  are showing themselves to be utterly hateful they do not care about truth they only care about power,OTH,OTH
70051,@USER These are all  coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? Idiots!,GRP,these are all  coranated attacks from idiot loons they will get worse much worse before the election can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician idiots,OTH,GRP
73642,@USER @USER Awwww she is so stinking cute! How old is she now?,IND,awwww she is so stinking cute how old is she now,IND,
11645,#JoinTheFight    Join the fight against American Communists... Democrats  and  Liberals have taken this crap to the edge and there is no coming back. They are  openly promoting the Destruction of  AMERICA.  #JoinTheFightAgainstCommunism URL,GRP,join the fight against american communists democrats  and  liberals have taken this crap to the edge and there is no coming back they are  openly promoting the destruction of  america,OTH,GRP
72274,@USER @USER has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but he’s not because he’s #Zionel,OTH,has stated that any talk of zionist involvement in 911 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect he should be ashamed of himself but he’s not because he’s,OTH,OTH
21524,"#Khaleesi kinda watching #HIAC ! Wtf does she think she is, a person? Pffft pathetic URL",IND,kinda watching   wtf does she think she is a person pffft pathetic,IND,
84579,And🤷🏽‍♂️ females b on the same shit URL,GRP,and females b on the same shit,OTH,GRP
59519,#DeclassifyDocuments I love watching liberals like Maria squirm. #Outnumbered,GRP,i love watching liberals like maria squirm,OTH,GRP
51386,"#PoliticsInFocus Look Donald! You are only a duck, stop patronizing me! URL",IND,look donald you are only a duck stop patronizing me,IND,
10918,#CarbonTax works and will put tons more money BACK INTO Canadian pockets.  .@USER  .@USER  .@USER .@USER  Part of why Trudeau won in 2015 was campaigning on a national carbon tax. Conservatives died then. They want another death in 2019...we will oblige. URL,OTH,works and will put tons more money back into canadian pockets         part of why trudeau won in 2015 was campaigning on a national carbon tax conservatives died then they want another death in 2019we will oblige,OTH,OTH
57541,Antonia Evans was either sex trafficked or cremated.,IND,antonia evans was either sex trafficked or cremated,IND,
25125,#TheView stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of,IND,stormy was in trapped by a dollar bill in her face poor pornstar but no worries the democratic party she is the leader of,IND,
61295,And these entertainment agencies just gonna have to be an ass about it. URL,OTH,and these entertainment agencies just gonna have to be an ass about it,OTH,OTH
53351,"#Trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.",IND,really everything trump does is another piece of evidence for obstruction of justice he is a talking crime machine,IND,
25463,"#DisarmThem? This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. #2A URL",GRP,this goes to show how moronic antifa types are because this is a good way to encourage some dumbass to rightfully get speedrocked open carry users practice weapon retention gun grabs will go very badly for you if you try you will get shot so dont do it,OTH,GRP
85613,#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe,GRP,every time liberals dont get there way they cry racism or sexual assault hard to believe,OTH,GRP
85886,"#CincinnatiEnquirer steps into #Gun Control FINALLY. Took a #MassShhoting on their damn door step for their #editors to wake up, but better late than never. URL",OTH,steps into  control finally took a  on their damn door step for their  to wake up but better late than never,OTH,OTH
54621,!!!!bitch i’m fucking coming back URL,IND,bitch i’m fucking coming back,IND,
80397,#Liberals Are Reaching Peak Desperation To Call On #PhillipRuddock To Talk With #Turnbull To Convince Him To Help with #WentworthVotes 18 Sept 2018  @USER #Auspol #LNP #NSWpol @USER  @USER @USER #LNPMemes URL,GRP,are reaching peak desperation to call on  to talk with  to convince him to help with  18 sept 2018,OTH,GRP
67926,"#Democrat controlled city with strict gun control laws and @USER wants to blame the #GOP Um, isn’t it you rich #Democrats trying to keep the blacks in poverty? #WalkAway URL",GRP,controlled city with strict gun control laws and  wants to blame the  um isn’t it you rich  trying to keep the blacks in poverty,OTH,GRP
41588,@USER Got to love that the people making the laws tend to know nothing about the subject they're making the law for. You should hear some of the gun control laws people try to pass here in the states.,GRP,got to love that the people making the laws tend to know nothing about the subject theyre making the law for you should hear some of the gun control laws people try to pass here in the states,OTH,GRP
51948,@USER #WalkAWayFromCatholicism it is a corrupt to the core and become a giant autocratic pedophile ring.,OTH,it is a corrupt to the core and become a giant autocratic pedophile ring,OTH,OTH
28196,"#CALIFORNIA PATRIOTS... especially those in #CA21  Obama/Soros are attempting to take this House seat to get control of Congress.  Say no to TJ Cox.  He is a shill Candidate fronted by the dastardly duo.  Please get out and vote David Valadao for House, Dist 21! Follow @USER URL",IND,patriots especially those in   obamasoros are attempting to take this house seat to get control of congress  say no to tj cox  he is a shill candidate fronted by the dastardly duo  please get out and vote david valadao for house dist 21 follow,IND,
50376,- When she takes her nigga name out her bio. URL,OTH,when she takes her nigga name out her bio,OTH,OTH
45304,#ArrestGeorgeSoros He Funds #DomesticTerrorists #Antifa URL,IND,he funds,IND,
27228,#Conservatives Govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. #inequality  URL via @USER,GRP,govt have run up debt in spite of austerity cuts while the rich have doubled their wealth    via,OTH,GRP
57326,#CrowderConfronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #dontbeafraid #confrontwithtruth URL,OTH,continues to expose that the sjw bullies are paper tigers when conservatives fight back with truth and facts,OTH,OTH
88221,#BiggBossTelugu2 how many of you #KaushalArmy cum @USER fans... URL,GRP,how many of you  cum  fans,OTH,GRP
97610,"@USER @USER @USER Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.",OTH,okay and anybody can go to eredivise and score 15 goals shit league bundesliga teams are competitive in euro competitions mexico hasn’t produced any talent like pulisic in a long time it’s okay maybe you guys will one day,OTH,OTH
63048,#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials,IND,is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom’s death she should stop and listen to anupriya side of the story before she makes vile accusation,IND,
30075,#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials,IND,is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom’s death she should stop and listen to anupriya side of the story before she makes vile accusation,IND,
60466,"#Christian #America – If we go by #Trump’s example, where liberals support open borders, I guess conservatives support school shootings.   Please explain how this makes America great again.",GRP,– if we go by ’s example where liberals support open borders i guess conservatives support school shootings   please explain how this makes america great again,OTH,GRP
25685,@USER @USER @USER She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.,IND,she is the most disingenuous person in the senate if she was my senator i would hide in shame after her despicable behavior in the scotus hearings,IND,
16333,#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You should #broadcast your #Armory and #killSkills #RightFuckingNOW URL,GRP,you are being  by   and you talk about  of yourselves and of  from the     you should  your  and,OTH,GRP
78417,"699. Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER",IND,699 just wanted to tell you you should hang out with me more i think it’ll be fun also lmao dick for a tongue so people can easily suck me off haha kidding aside i aint want a tongue as my dick that looks hella weird but my choice was weird to but whatever,IND,
51525,#AVALANCHE I'm sorry! I see you! I love you! I was an asshole! You know how we are #maga,IND,im sorry i see you i love you i was an asshole you know how we are,IND,
84550,#FF @USER he is an alien from the future 🙌🏻👽🌃 URL,GRP,he is an alien from the future,OTH,GRP
23530,"#FamiliarWife JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ URL",IND,jhomg she is crazy wjwaityes i am interested in assistant manager cha bhyou guys look like a good pair voare you having some just sit over here jhdont do it wjlets live our own life lets do it newscollision on hwy there is congestion jhwoojin,IND,
57284,"#ThingsDarthVaderWouldNeverSay yup , white mask privilege at it's finest. Always trying to keep a black mask down #BlackLivesMatter #Qanon #Antifa #AlexJones #Infowars #StarWars #maytheforcebewithyou #thirdshiftzombies #Podcast #radio #WhiteSupremacy URL",GRP,yup  white mask privilege at its finest always trying to keep a black mask down,OTH,GRP
59700,All I’m saying if we cool and you feel any type of way about me.. speak the fuck up.,IND,all i’m saying if we cool and you feel any type of way about me speak the fuck up,IND,
13433,#Cuckservative Traitors Are Worse Than Fortnite Players URL #Conservatives #TriggerWarningRadio,GRP,traitors are worse than fortnite players,OTH,GRP
80197,"#Barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU  ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG URL",IND,boxer if liberals want to use rape as a political tactic they had better have some hard evidence her word isnt evidence its called hearsay  on that note i could say  you   cornered me in a bathroom and put your hands all over me 35 years ago prove me wrong,IND,
79309,#ConstitutionDay It's very odd for the alt right conservatives to say that we are ruining the constitution just because we want #GunControlNow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not White wanting to live,GRP,its very odd for the alt right conservatives to say that we are ruining the constitution just because we want  but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not white wanting to live,OTH,GRP
47696,#LiberalLogic  #Kavanaugh looks predatory. Therefore he's guilty.  #Liberals are DANGEROUS people who should not govern anyone or anything. URL,GRP,looks predatory therefore hes guilty   are dangerous people who should not govern anyone or anything,OTH,GRP
55633,"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",IND,i can’t believe this sexist  clueless old fart gets to weigh in on another woman’s charges against a supreme court nominee and he is spouting the same old nasty shit he spewed 20 years ago against anita hill his time’s up good riddance neanderthal,IND,
87934,"4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?",GRP,4 part 2 didnt have to think too hard to come up with gabriel theyre a lizard themed glitter bombing antifa mech pilot using their superhero powers to take down corrupt logging companies theyre a buff lesbian with hearts on their uniform literally whats not to love,OTH,GRP
27455,"#Liberals / #Democrats THIS is what you stand for. If not, then #WalkAway URL",GRP,this is what you stand for if not then,OTH,GRP
83466,#Beeto Just Demonstrated How To Lose An Election In #Texas   URL #MAGA @USER #rkba @USER #DVC,IND,just demonstrated how to lose an election in,IND,
48657,And have a bitch thinking you niggas have money and you tf don’t.,GRP,and have a bitch thinking you niggas have money and you tf don’t,OTH,GRP
86611,"#Dems are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. URL",GRP,are disgusting they only believe women who accuse conservatives of abuse crimes when liberals are accused they ignore the accusations,OTH,GRP
12193,#ChristineBlaseyFord is only being harassed by members of the Antifa the radical arm of the Democratic Party funded by George Soros.  #VoteRedToSaveAmerica,GRP,is only being harassed by members of the antifa the radical arm of the democratic party funded by george soros,OTH,GRP
63985,"50 Cent Calls Out Joe Budden's Bullshit"" On Instagram URL URL",IND,50 cent calls out joe buddens bullshit on instagram,IND,
20522,"#bb20 actually question why do people want Jc to win more than Angela? He has been way meaner, says the n word repeatly, makes fun of eating disorders, and sexually harasses houseguests.She is just as much as an underdog to win so dont use that excuse. #bb20  #tangela",IND,actually question why do people want jc to win more than angela he has been way meaner says the n word repeatly makes fun of eating disorders and sexually harasses houseguestsshe is just as much as an underdog to win so dont use that excuse,IND,
70324,Alright let me get right with God bc Mother Nature is like fuck humans URL,GRP,alright let me get right with god bc mother nature is like fuck humans,OTH,GRP
89329,#Hillary and @ least 16 other #AngryDemocrats #WorldWarQ #WWG1WGA #MAGA #RedTsunami #AmericaFirst #WalkAway #Truth URL,OTH,and  least 16 other,OTH,OTH
11100,#Antifa is recruiting for a designated #terrorist organization URL,OTH,is recruiting for a designated  organization,OTH,OTH
83240,#Hypocrites #DemocratsHateAmerica #LiberalismIsAMentalDisorder EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT... URL,GRP,everything liberals touch turns to absolute shit,OTH,GRP
81890,@USER @USER As I have said the media and money Soros with dip shit Waters is creating a civil war.,IND,as i have said the media and money soros with dip shit waters is creating a civil war,IND,
72037,#Texas Ted Cruz campaign is sending people solicitations disguised as official looking county summons. Elderly residents have been confused by the notice to appear. He is so skeezy.    URL,IND,ted cruz campaign is sending people solicitations disguised as official looking county summons elderly residents have been confused by the notice to appear he is so skeezy,IND,
94607,Anyone who finds M*neta's behavior funny can fuck off and die,GRP,anyone who finds mnetas behavior funny can fuck off and die,OTH,GRP
72531,#GoodMorningAmerica  #TuesdayMotivation #Thankyou #FatherGod the #Americanpeople will begin to see the #truth about our #governmentcorruption @USER @USER @USER #mediaCorruption #NoRedaction #DeclassifyFISA #Declassification completely #Obama #HillaryClinton #Lies #Leakers #liberals URL,OTH,the  will begin to see the  about our         completely,OTH,OTH
98575,"@USER The difference between you and I as I stated before, and this inane asinine comment have solidified is I bring facts and truth, while all you have is lies and bullshit. Present a single shred of credible evidence to support a single thing you've just said. Lies is all you've got.",IND,the difference between you and i as i stated before and this inane asinine comment have solidified is i bring facts and truth while all you have is lies and bullshit present a single shred of credible evidence to support a single thing youve just said lies is all youve got,IND,
58342,@USER Damn I felt this shit. Why you so loud lol,IND,damn i felt this shit why you so loud lol,IND,
39429,#MSNBC #Hardball @USER Bingo you are absolutely correct he cannot bring President Obama down. He can’t get over how President Obama humiliated him at the White House correspondents dinner and I can guarantee you that is a definite driver of his hate for President Obama,IND,bingo you are absolutely correct he cannot bring president obama down he can’t get over how president obama humiliated him at the white house correspondents dinner and i can guarantee you that is a definite driver of his hate for president obama,IND,
18786,#CnnIsFakeNews @USER @USER you wonder why your ratings suck... #cnnisajoke #FakeNews #MAGA URL,OTH,you wonder why your ratings suck,OTH,OTH
67049,"#JoeScarborough is a vile excuse for a journalist"". Here he is criticizing #Trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER",IND,is a vile excuse for a journalist here he is criticizing  yet refuses to come clean about the death of an intern in his office stop talking about everyone else and start talking about your involvement with,IND,
98216,"The Dregs of Society""... more LABELINGand DEHUMANIZING Conservatives.I suggest,WE, Conservatives keep OUR ammo dry and OUR guns loaded..If the Fascist Liberal Left THINK Conservatives WILL go quietly into internment camps or slaughtered in the streets they NEED a REALITY check. URL",OTH,the dregs of society more labelingand dehumanizing conservativesi suggestwe conservatives keep our ammo dry and our guns loadedif the fascist liberal left think conservatives will go quietly into internment camps or slaughtered in the streets they need a reality check,OTH,OTH
37649,#Feinstein you cant say anything truthful.  You are a loers and liar. URL,IND,you cant say anything truthful  you are a loers and liar,IND,
59751,#Nigeria #Naija #9ja 'You are the most incompetent leader in Nigeria’s history' – Atiku blasts Buhari URL By championnewsng Via URL,IND,you are the most incompetent leader in nigeria’s history – atiku blasts buhari  by championnewsng via,IND,
92215,"#Emmys  Well, most of those ex-crackheads are liberals and Democrats; so ...",GRP,well most of those excrackheads are liberals and democrats so,OTH,GRP
