id,tweet,subtask_a,tweet_cleaned
77101,"@USER 'Fellow Democrats don't want @USER 🦅🇺🇸 @USER to do well.. it's not about what's best for America. It's purely politics' - Dov Hikind, Democratic NY Assemblyman URL",NOT,fellow democrats dont want    to do well its not about whats best for america its purely politics  dov hikind democratic ny assemblyman
86917,"#osho #quotes via @USER Listen to your being. It is continuously giving you hints. It is a still, small voice. It does not shout at you, that is true. And if you are a little silent you will start feeling your way. Be the person you are. Never try… URL URL",NOT,via  listen to your being it is continuously giving you hints it is a still small voice it does not shout at you that is true and if you are a little silent you will start feeling your way be the person you are never try…
78472,"#YYC @USER  looking hockey players of all ages/abilities for our Humboldt Tribute game Sunday 9/16. Arrive 2pm, dress, participate in our opening ceremony. Contact lindsay.clothier@USER if you are interested! #WePlayForThem #HumboldtStrong #HockeyIsFamily #GoNucks",NOT,looking hockey players of all agesabilities for our humboldt tribute game sunday 916 arrive 2pm dress participate in our opening ceremony contact lindsayclothier if you are interested
17798,#Conservatives #Brexit putting #Britain last.  Sending a chill down the spine of the #UK.,NOT,putting  last  sending a chill down the spine of the
71873,#Gamers go follow @USER on #Twitter and #twitch He is playing with @USER on #BlackOps4 #Blackout Please help and support them both on Twitter and twitch. Remember all #SupportForSupport and #SupportAllStreamers URL,NOT,go follow  on  and  he is playing with  on   please help and support them both on twitter and twitch remember all  and
30247,"#QuickTip: Find people already working in a company, or within the industry that you are interested in.  We know a lot of people! Send us your resume to info@USER or message us RIGHT NOW URL URL",NOT,find people already working in a company or within the industry that you are interested in  we know a lot of people send us your resume to info or message us right now
81150,#LiberalLogic If #Liberals get their way..... URL,NOT,if  get their way
46444,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.",OFF,is that serious holy shit please your fucking assholes dont blame someone for the death of other one she is sad enough for today dont you see it isnt fault of none he had an overdose and died end stop wanting someone to blame fuckers
60587,@USER How is she hiding her ugly personality. She is the worst.,OFF,how is she hiding her ugly personality she is the worst
70569,......bitch what URL,OFF,bitch what
59200,"#Georgetown Classmate Says #Left Accuser is Absolutely NUTS""  URL ""Judge Kavanaugh""@USER @USER @USER #ABC #CBS #Democrats #Liberals #women #MondayMotivation #MondayMorning #veterans #law #MAGA #GOP #CNN #MSNBC #NBC #Moms #BlackWomen #BET""",NOT,classmate says  accuser is absolutely nuts   judge kavanaugh
30900,@USER @USER @USER Are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,NOT,are you referring to how they lollygag with gun control as their kids get slaughtered in schools
44546,@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But don’t worry about the actual crime.  The pic of black guns is worse.,OFF,i’m shocked to learn human traffickers had guns  some probably illegal too  ca needs more gun control  but don’t worry about the actual crime  the pic of black guns is worse
53982,#WELOVESEUNGCHEOL @USER   I am happy and proud of the work you have done to train seventeen along with the other members. I see you and you are wonderful and incredible. I really love u ㅠㅠ 💕. URL,NOT,i am happy and proud of the work you have done to train seventeen along with the other members i see you and you are wonderful and incredible i really love u
37884,#Chequers is a violation of democracy !!  #StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL,NOT,is a violation of democracy         the will of the people must be respected
15079,"#Sessions Tells #Chicago: “If You Want More #Shootings, More #Death, Listen To #ACLU, #Antifa, #BlackLivesMatter” URL",NOT,tells  “if you want more  more  listen to   ”
51628,#Conservatives @USER - You're  a clown!  URL,OFF,youre  a clown
30899,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”,OFF,voice in my head while i transfer money to my credit card “bullshit that i bought and have to pay for”
99680,Levi Strauss has “never been afraid to take an unpopular stand to support a greater good.” '  What about when they shut down all manufacturing in America?  That wasn't even a news story when it happened. Maybe they're right; it wasn't unpopular.  URL,NOT,levi strauss has “never been afraid to take an unpopular stand to support a greater good”   what about when they shut down all manufacturing in america  that wasnt even a news story when it happened maybe theyre right it wasnt unpopular
38628,"@USER $500,000 for her wedding. Clinton's always know what's best.",NOT,500000 for her wedding clintons always know whats best
40110,#Kids Beating #Paraplegic #Trump #Boy!  #Left Teach Their #Children Hate Violence!  #schools #teachers #Democrats #Liberals #WalkAway #Moms #Mother #NEA #teachthemyoung #Christian #Catholic #Jews #Evangelicals #family #BlackWomen #BlackTwitter #Blacks #News #Media #Disabled #MAGA URL,OFF,beating      teach their  hate violence
50310,"0-9 : B-1, J-1, R-1, B-2, Q-2, B-3, BX-3, B-4, RB-4, Z-4, B-5, Q-5, B-6, H-6, B-7, H-7, UT-7, B-8 (20:59:36)",NOT,09  b1 j1 r1 b2 q2 b3 bx3 b4 rb4 z4 b5 q5 b6 h6 b7 h7 ut7 b8 205936
84101,"#AskAlly I only say that I adore you and you are a great person, please take care of yourself always❤️",NOT,i only say that i adore you and you are a great person please take care of yourself always
84876,"#DOJ employee resisters"" r looking up conservatives’ license plates, home addresses, legal details in LexisNexis 2give to Dem Socialists/Antifa-project Veritas.But don't worry, no govt in history has ever made political opponent lists and oppressed them🙄 URL",NOT,employee resisters r looking up conservatives’ license plates home addresses legal details in lexisnexis 2give to dem socialistsantifaproject veritasbut dont worry no govt in history has ever made political opponent lists and oppressed them
57425,#Kelly McParland: Latest floor-crosser is telling truths the Liberals don’t like hearing - URL URL,NOT,mcparland latest floorcrosser is telling truths the liberals don’t like hearing
83262,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,NOT,when you are awake you see clearly   check out this video
46777,"#BoycottLevis Since the late 1990s, Levi’s has used its name and resources to attack gun rights. In 1999, the company gave $100,000 to gun control group PAX, followed by a $250,000 donation in 2000 and another $100,000 in 2001. URL",NOT,since the late 1990s levi’s has used its name and resources to attack gun rights in 1999 the company gave 100000 to gun control group pax followed by a 250000 donation in 2000 and another 100000 in 2001
54053,Are you fucking serious?   URL,NOT,are you fucking serious
15998,*gets all the bitches*,OFF,gets all the bitches
62945,@USER @USER @USER I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,NOT,i got in a pretty deep debate with my friend and she told me that latinos for trump and blacks for trump were paid supporters  then i said you mean antifa are paid domestic terrorist and she said no they are  antifascist then i said they are the fascist are you kidding me
96457,#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL,OFF,take note of how to protest with civility   this is why socialism aka communism will never win it is inherently evil and unsustainable
85977,#gmm #roastmycat hi @USER  this is Fiona. She is about 10 weeks old. She falls asleep in weird places URL,NOT,hi   this is fiona she is about 10 weeks old she falls asleep in weird places
70841,@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,OFF,omg is he for real  this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i
46139,"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. URL",OFF,its not about our disagreements with  its that conservatives cant debate honestly and they have no integrity whatever gets them thru today is all that matters to them theyre fundamentally dishonest people
99009,#Halloween Sign If You Are Reading This #CreepingUp Behind You Wood Wall Decoration #tmtinsta #cwsigns  URL via @USER,NOT,sign if you are reading this  behind you wood wall decoration     via
66388,"#huniachiweek No matter what you are going through today or in the past few days, your situation is never permanent. God is going to change your life for good. Trust and Believe that He is able to. Please, Read... URL",NOT,no matter what you are going through today or in the past few days your situation is never permanent god is going to change your life for good trust and believe that he is able to please read
91217,@USER My only point of contention is this.  He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy. Wilks hasn't even been able to get his defense to line up correctly. He is in over his head.,NOT,my only point of contention is this  he decided to keep this group which has top end talent and also decided to hire hot trash mike mccoy wilks hasnt even been able to get his defense to line up correctly he is in over his head
91994,And yet everyone seems to lack it URL,NOT,and yet everyone seems to lack it
58751,#MAGA   Expect more censorship URL,NOT,expect more censorship
80947,And apparently I'm committed to going to a new level since I used the key.  Well FUCK.  Curiosity killed the Cat(hy),OFF,and apparently im committed to going to a new level since i used the key  well fuck  curiosity killed the cathy
99253,#NE need to check out a dentist and find out if she is has a perfect work record? What about a child care facility? Now you can check online for all kinds of licensed professionals and it's free @ URL,NOT,need to check out a dentist and find out if she is has a perfect work record what about a child care facility now you can check online for all kinds of licensed professionals and its free
40386,@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.,OFF,then why aren’t there so many shootings in virginia  jacksonville shooter got his guns in maryland among the poster children for gun control  what good did that do  you’re full of crap
58742,#Amnesty_International: US is in violation of international human rights law by not passing stronger #gun_control URL via @USER URL,NOT,us is in violation of international human rights law by not passing stronger   via
39752,@USER Well she is Chuck Schumer's cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon. Or part of the Deep State. Or a Zionist plot. Or 'Big comedy'. Or whatever the hell today's conspiracy theory is.,NOT,well she is chuck schumers cousin or niece or something so she is obviously part of the dnc conspiracy against nixon or part of the deep state or a zionist plot or big comedy or whatever the hell todays conspiracy theory is
25262,#GodsPraiseroom God keeps you even in the storms that may rock your boat - Let's all submit to His will after all he is the only one who really knows the end from the beginning URL,NOT,god keeps you even in the storms that may rock your boat  lets all submit to his will after all he is the only one who really knows the end from the beginning
17703,#Spaldo is my guy.  He is my godson,NOT,is my guy  he is my godson
98916,"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL",OFF,are bedfellows with the democratic socialists of america dsa who  has exposed as being inserted throughout government attempting to bring down
18709,#CNN ruthlessly continues #Fakenews onslot. Where's the honest analysis? Right here!  URL #tcot #CNN #NRA #massshooting #CNNISFAKENEWS #Conservatives #FakeNewsMedia #FakeNews #PBA #FakeNewsCNN,NOT,ruthlessly continues  onslot wheres the honest analysis right here
26026,#Brexit Barometer: Labour fails to capitalise as Conservatives fail to please; Kantar: nearly two thirds of the UK believe the government is handling Brexit negotations poorly.  URL,NOT,barometer labour fails to capitalise as conservatives fail to please kantar nearly two thirds of the uk believe the government is handling brexit negotations poorly
32190,@USER Antifa has TS level influence. It's scary.,OFF,antifa has ts level influence its scary
27550,"@USER I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.",OFF,i have three accounts two quasianonymous and one completely anon and if twitter ever bans one of the quasianon ill make two anon accounts and tweet the most insane shit i will drown twitter in bullshit if one of those is banned ill make even more
68539,#MAGA Alert : Joe Biden on #Trump Supporters: 'The Dregs Of Society' (VIDEO) URL via @USER,NOT,alert  joe biden on  supporters the dregs of society video  via
93643,$CERC is now Boyd's #1 stock. And he is the sole holder of the stock among hedge funds we track. URL,NOT,cerc is now boyds  stock and he is the sole holder of the stock among hedge funds we track
99120,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER City of Chicago, Democrat run with some of the strictest gun control in the nation.""  😂 What's your point, #NotThatBright? URL",NOT,city of chicago democrat run with some of the strictest gun control in the nation   whats your point
24040,#Liberals are so pathetic!  INNOCENT UNTIL PROVEN GUILTY mean much?  #Democrats should look at their own party if they need a rapist to hang!  #KavanaughIsInnocent #WalkAwayFromDemocrats. #LiberalLies are straight from the Pitts of HELL 🔥 URL,OFF,are so pathetic  innocent until proven guilty mean much   should look at their own party if they need a rapist to hang     are straight from the pitts of hell
85436,"#Trump may be many things, but he is entertaining!!!! Thanks #twitter URL",NOT,may be many things but he is entertaining thanks
73516,"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL",OFF,10 million reallocated from fema to ice this guy gives zero shits about anyone not named trump if you’re in the mid atlantic get out now
88905,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,OFF,please ban this cheating scum  he is literally invisible
52955,"#I once read about the man who invented bulbs, he saw failure differently, it was 5000 new wayz of doing it differently..Now he is a genius#",NOT,once read about the man who invented bulbs he saw failure differently it was 5000 new wayz of doing it differentlynow he is a genius
33452,#2AUnfettered Repeal all gun control laws. If the government can use it then the people should be able to as well. URL,NOT,repeal all gun control laws if the government can use it then the people should be able to as well
13276,.. Good thing it was responsible US Marines..  I’m pretty sure a group of Antifa members wouldn’t be running that fast in that direction to help anyone let alone elder seniors..  Thank you @USER ..  We salute You❗️  @USER @USER  @USER URL,NOT,good thing it was responsible us marines  i’m pretty sure a group of antifa members wouldn’t be running that fast in that direction to help anyone let alone elder seniors  thank you    we salute you
26462,"#FordTheatre  Right on Cue, a GoFundMe acct has been set up for this person, the new #Liberals  mode of bribery and payoffs! @USER  Really should  investigate these GoFundMe as a  New outlet for  slush funds! #Comey, #McCabe, #Strzok",NOT,right on cue a gofundme acct has been set up for this person the new   mode of bribery and payoffs   really should  investigate these gofundme as a  new outlet for  slush funds
94339,"#Christian If Twitter and Facebook can silence conservatives, Christians we are next. Once censored, the darkness takes over. Help us grow in by living your faith aloud. Where we go one we go all. Prayer warriors, please help us grow this movement. URL",NOT,if twitter and facebook can silence conservatives christians we are next once censored the darkness takes over help us grow in by living your faith aloud where we go one we go all prayer warriors please help us grow this movement
23786,"6ix9ine aus den speakern, fick deine political correctness",NOT,6ix9ine aus den speakern fick deine political correctness
27371,#fall #fashion #trending #coats #colors URL We have What You are looking for! #airdrie #calgary #lethbridge #toronto #vancouver #princegeorge URL,NOT,we have what you are looking for
88670,"#republicans put WALLin budget..you are going to loose Pres.Trump followers. He is why U R there, so support him URL",NOT,put wallin budgetyou are going to loose prestrump followers he is why u r there so support him
54391,#gmm #roastmycat hi @USER  this is Fiona. She is about 10 weeks old. She falls asleep in weird places URL,NOT,hi   this is fiona she is about 10 weeks old she falls asleep in weird places
42112,#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.,OFF,the conversation about this is so unattractive the creator says he didnt create a character gay and he is being attacked
37740,#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to...,OFF,is so full of herselfshe is just as painful to watch as to listen to
72405,"#ColinKapernaeck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",OFF,has done nothing but sit on his ass and complain it’s time black people and die hard white liberals who think they are down with the cause aka  to wake the heck up or stfu colin is not a civil rights hero or martyr no where near it
20780,"#DanganronpaV3 ... here he is, claiming to be the mastermind, yet I still don’t believe him. I don’t think he’s the mastermind. There is evidence that suggests he is, but then there’s evidence that suggests he’s not...",NOT,here he is claiming to be the mastermind yet i still don’t believe him i don’t think he’s the mastermind there is evidence that suggests he is but then there’s evidence that suggests he’s not
38820,#MonbebeSelcaDay she is beautiful URL,NOT,she is beautiful
82913,#LockHimUpNow #MAGA #QAnon @USER best President ever URL,NOT,best president ever
97383,@USER #GoodbyeNFL 👋 It was great before your players became Marxists! I’ll keep nixing any sports league that displays such support of the BS ‘oppression’ narrative. #GoodbyeNIKE,NOT,it was great before your players became marxists i’ll keep nixing any sports league that displays such support of the bs ‘oppression’ narrative
21397,#Liberals #Left #Democrats #Resist #Resistance #Antifa #BlueWave #BlueWave2018 It's 👌 to #WalkAway 👍😆 🇺🇸 🇺🇸 🇺🇸 #MAGA 🇺🇸 🇺🇸 🇺🇸   URL,NOT,its  to
51738,"#EmailMarketing #sales I will teach you how to create your own exclusive, online 'traffic economy' so you are never short of leads and sales again URL URL",NOT,i will teach you how to create your own exclusive online traffic economy so you are never short of leads and sales again
47445,". JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS  . URL",OFF,jeff sessions ‘listen to the aclu antifa black lives matter’ if you want more chicago shootings
27158,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,OFF,amazon will ship live christmas trees to your door — but will they stay and put on the damn lights
26382,@USER How sweet! Congratulations. Once he is house broken it will get better,NOT,how sweet congratulations once he is house broken it will get better
17183,@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,OFF,i bet she is a lot safer when she has sex now tho  or she wouldn’t have just one but a few kids  why cant moms get dicked down too
10595,#i2 This speaks for itself (NSFW) URL,NOT,this speaks for itself nsfw
49481,"#JameyComey has been so silent these last few weeks, because he knows he's going to be indicted. 13:35  #FBI #DOJ  #Strzok #Page #TextMessages  #QAnon  #PatriotsFight  ty .@USER  #MAGA  URL",NOT,has been so silent these last few weeks because he knows hes going to be indicted 1335             ty
37949,#SupernaturalTNT #TheManWhoWouldBeKing OMG!  @USER You are amazing! @USER Crowley and Cas are always great together and I miss it!,NOT,omg   you are amazing  crowley and cas are always great together and i miss it
96729,"*Available for Adoption* Lincoln County, NC Roger #A001257 SEX: MALE/NEUTERED  AGE: 13 weeks old INTAKE: 08/28/18 URL",NOT,available for adoption lincoln county nc roger  sex maleneutered  age 13 weeks old intake 082818
42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL,OFF,govt   made my life hell whistleblowers say they were threatened by regulator i thought this govt promised to protect whistleblowers
21748,Apple live keynote #AppleEvents   URL,NOT,apple live keynote
24316,@USER #Zuckerberg lies.,NOT,lies
19516,#lilduval “When you know u ain’t going to work tomorrow” #HappyFriday #SmileBitch #LivingMyBestLife❤ #HittemWithDaShoulders URL,NOT,“when you know u ain’t going to work tomorrow”
79383,#AntifaHorst - whuuuuut?! 😂  #antifa #maassen #seehofer URL,NOT,whuuuuut
64857,"#NoteToMyStalker n his empire: Trust me, if my penance of a life n career are true, Nature will leave no stone unturned in getting you.  You will be left with nothing.  Every one of you.  No matter how powerful you are.",NOT,n his empire trust me if my penance of a life n career are true nature will leave no stone unturned in getting you  you will be left with nothing  every one of you  no matter how powerful you are
89936,#FreeLeahShaibu  Negotiate her release! She is someone's daughter! ! @USER @USER,NOT,negotiate her release she is someones daughter
90362,#SerenaWilliams Serena was caught cheating with her coach but because it's collaborative she thinks she is not a thief. In her mind the real thief is the umpire who spotted what was going on and called it out. It's like a couple of bank robbers blaming a guard for calling police,NOT,serena was caught cheating with her coach but because its collaborative she thinks she is not a thief in her mind the real thief is the umpire who spotted what was going on and called it out its like a couple of bank robbers blaming a guard for calling police
75620,#Antifa ........  Retweet if you can’t stop watching this...   URL,NOT,retweet if you can’t stop watching this
24907,#100NotOut Thank You for following!!  🔷 #Leicester 🔹@USER #VoteForChange #LocalElections2019 🔹 #VoteTory #VoteConservative 🔷 #CutCrime #CutRedTape #CutTaxes #CutGrass 🇬🇧#BetterServicesLowerTaxes 🇬🇧🔵,NOT,thank you for following
26259,"#ThingsYouShouldNeverAssume when someone says she/he is okay or smile, maybe he/she doesn't wanna worry you.",NOT,when someone says shehe is okay or smile maybe heshe doesnt wanna worry you
76095,"#Repost @USER with get_repost ・・・ Those who love you are not fooled by mistakes you have made, or by dark images you hold about yourself. They remember your beauty when you feel… URL",NOT,with getrepost  those who love you are not fooled by mistakes you have made or by dark images you hold about yourself they remember your beauty when you feel…
11557,#1 Nick Gehlfuss stan just watched Friends! and she is not going to stop #tvtime URL,NOT,nick gehlfuss stan just watched friends and she is not going to stop
51963,"#SEO #Tips: You are the master of your own fate online, so be wise and don't expect pity. If you screw up, nobody else is to blame.",NOT,you are the master of your own fate online so be wise and dont expect pity if you screw up nobody else is to blame
15180,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,OFF,please ban this cheating scum  he is literally invisible
58026,#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL,OFF,ellison accuser says shes been sidelined by her own party
26432,"#Truth I will show you how to build your own personal, online 'traffic economy' so you are never in short supply of qualified prospects and sales again URL URL",NOT,i will show you how to build your own personal online traffic economy so you are never in short supply of qualified prospects and sales again
76565,@USER Gun control? I'm wondering who was in control of all those bodies that got suicided because of you. You need to be controlled.  24/7/365 #GITMO THE PAIN IS COMING. #MAGA #QAnon #Benghazi  Hope they televise your demise.,NOT,gun control im wondering who was in control of all those bodies that got suicided because of you you need to be controlled  247365  the pain is coming     hope they televise your demise
91588,#Antifa has a new cause URL,NOT,has a new cause
58033,#Balkan Conservatives Unite at #Family Congress in #Moldova URL,NOT,conservatives unite at  congress in
81352,#BoycottNFL .@USER You are dead to me. @USER @USER URL,OFF,you are dead to me
33133,"@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL",OFF,michelle was there 8 years and we sure dont need any more bad advice from her now we have a new sheriff in town whos    get out and vote  all colors all genders aka all americans
