id,tweet,subtask_a,subtask_b,subtask_c,subtask_c_ii,subtask_c_iii,tweet_cleaned
54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,NOT,,,,,did twitter silence alex jones in retaliation of him asking twitter jack questions
48995,@USER Thats because you are an old man.,OFF,TIN,IND,IND,,thats because you are an old man
47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,OFF,TIN,OTH,OTH,OTH,they are obstructionists antiamerican pharisees ask them what they are running on and you get nothing maga
76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",NOT,,,,,no youre notyoure here 2 represent the alinskyite orwellian leftist toolfool view on thingslike 999 of the marxistsantifa similar 2upsst and b4u use the words fascist or fascism again go ahead  read dsouzas book the big lieright now u know squat about either
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT,,,,,i do remember  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things
64429,@USER I mean it worked for gun control right? URL,OFF,TIN,GRP,OTH,GRP,i mean it worked for gun control right
20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,NOT,,,,,i think the last thing on the wh or trumps mind is april ryan she needs to stop flattering herself shes not as important as she thinks she is
78064,@USER Principled conservatives are #Hypocrickets,NOT,,,,,principled conservatives are
14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,NOT,,,,,dont forget   democrat backed
72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,NOT,,,,,she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real
39051,@USER Bring out his Antifa criminal son to campaign for him,NOT,,,,,bring out his antifa criminal son to campaign for him
54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,NOT,,,,,i didn’t watch and will not watch  watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday
50759,A tear is made of 1% water and 99% feelings.,NOT,,,,,a tear is made of 1 water and 99 feelings
75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",NOT,,,,,trump addresses gun control representing the nra  i will not let you down he says
45068,@USER She is drinking so much koolaid she’s bloated.,OFF,TIN,IND,IND,,she is drinking so much koolaid she’s bloated
17259,@USER Holder needs to be prosecuted,NOT,,,,,holder needs to be prosecuted
95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,NOT,,,,,but but both players were women and both were women of color
84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,OFF,TIN,IND,IND,,the institution only let her tweet when she behaves she is a window licker
14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT,,,,,babysitting 3 kids  people”how old do you think she is” “she has three kids”  medont get mad don’t get mad they don’t know they don’t know
23784,@USER well...? URL,NOT,,,,,well
93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,OFF,TIN,IND,IND,,wtc this is a threat
30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",NOT,,,,,its easily digestible content   theres no need for nuance or to even understand the story  they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable
69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,NOT,,,,,try looking for plain old democrats  the liberals are the ones which you can’t have a conversation with
15322,@USER Great news! Old moonbeam Just went into a coma! 😂,NOT,,,,,great news old moonbeam just went into a coma
75089,@USER OMG HE IS SO EXTRA ILY,NOT,,,,,omg he is so extra ily
21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,OFF,TIN,IND,IND,,please call trump out for what he isa narcissistic sociopath
43133,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.,NOT,,,,,unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups
52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,NOT,,,,,i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day
59537,@USER @USER Guy you are always present...bet why? Lol,NOT,,,,,guy you are always presentbet why lol
44209,@USER @USER what a baby! URL,NOT,,,,,what a baby
96664,@USER you are very persuasive fam,NOT,,,,,you are very persuasive fam
12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,NOT,,,,,thats nothing new she was going to vote no anywaywe will vote no to liberals in november
61914,@USER Burt. A cool dude.,NOT,,,,,burt a cool dude
32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,NOT,,,,,if you are all in for  follow me and i will follow back
94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT,,,,,thank u i’m finally at the point where i’m okay with using heat on it again i’m so happy
64835,@USER Kind of like what trump does all the time huh?,NOT,,,,,kind of like what trump does all the time huh
41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT,,,,,because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me
52252,@USER Fuck em,OFF,TIN,GRP,OTH,GRP,fuck em
91001,@USER Good move....he is the big loser,OFF,TIN,IND,IND,,good movehe is the big loser
18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,NOT,,,,,lets get to the bottom of this dm me your zipcode and ill check it out  we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce
76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,NOT,,,,,for the record i know doug jones personally and he is only a sen bc we had no other credible choice he won’t be at the next election
88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,NOT,,,,,the president’s feelings are totally opposite of cnn’s feelings so what does that say about cnn they’re all liberals
66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",OFF,UNT,,,,its literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash
80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,OFF,TIN,IND,IND,,there are many dumb arguments for gun control but this may be the dumbest and most common
16052,@USER she is idk what's going on,NOT,,,,,she is idk whats going on
49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,NOT,,,,,yall need to chill he is having a really abysmal 2nd half rizzo had an abysmal 1st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime
77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,NOT,,,,,dude you are old lmao ps go pack go
10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,NOT,,,,,thats why trump supporters cant even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communistsocialistnazis democrat party
69160,@USER The laughs I’ve gotten from you are enough. 😌,NOT,,,,,the laughs i’ve gotten from you are enough
28380,@USER @USER @USER well?,NOT,,,,,well
40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,NOT,,,,,first of all— they don’t even have pizza at panera
39907,@USER @USER @USER please don't kill me. antifa on the other hand...,OFF,TIN,IND,IND,,please dont kill me antifa on the other hand
16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,NOT,,,,,did you see shanahan say spoon was not 100 healthy this game obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game maybe he is still pretty good
52824,@USER Good girl @USER,NOT,,,,,good girl
77294,@USER @USER She is an ugly black hearted troll URL,OFF,TIN,IND,IND,,she is an ugly black hearted troll
13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,NOT,,,,,you are clearly not a pokemon master i have almost 400 in rare candy alone over 150 legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game
16940,@USER Dont believe the hype.,OFF,UNT,,,,dont believe the hype
83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,NOT,,,,,followed all new  maga  please follow back
99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,NOT,,,,,reported in   except these are  fan and one  says  on it  getting worse now even as i type           doomed to lose but do not realises it  soon
11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",NOT,,,,,liberals would still vote for him theyll claim his comments were taken out of context and that he is still a man of integrity
28841,@USER @USER We have been saved from you! MAGA!,OFF,TIN,IND,IND,,we have been saved from you maga
79060,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.,NOT,,,,,you are bringing up honor and decency with that yoyo in the picture thats rich
71682,@USER Good riddance.,NOT,,,,,good riddance
17577,@USER She is a goddess,NOT,,,,,she is a goddess
27503,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT,,,,,omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead
59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",OFF,TIN,IND,IND,,you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows  conservatives are now the ruskies of the 21st century
81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,NOT,,,,,i see may in the same light as yourself even the last election was about her and not the conservatives  a split is coming to the tory partyvery soon
28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,OFF,TIN,GRP,OTH,GRP,this all i get  damn these haters deleting you ig for no reason
84131,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?,NOT,,,,,do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us
23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,NOT,,,,,you warned everyone about josh gordon the last 4 months on a daily basis  im sure you are as shocked as i am of what transpired today
28601,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL,NOT,,,,,why cant liberals read  read it again
64776,@USER SJSHSJ THATS MY JOB BITCH,OFF,TIN,IND,IND,,sjshsj thats my job bitch
95712,@USER Do they discuss Haiti?,NOT,,,,,do they discuss haiti
69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,OFF,TIN,IND,IND,,what part of no collusion dont you get this is why you are a dumocrat
37115,@USER He is very skilled😂😂,NOT,,,,,he is very skilled
80696,@USER You are amazing 💛💛💛,NOT,,,,,you are amazing
68163,@USER Fist pump was for the troops.,NOT,,,,,fist pump was for the troops
96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",OFF,TIN,GRP,OTH,GRP,if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters
68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,OFF,TIN,IND,IND,,let the leftist democrats riot in the streets with their antifa counterparts
66109,@USER I thought Canada had strict gun control.  Help me understand what is happening.,NOT,,,,,i thought canada had strict gun control  help me understand what is happening
19419,@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias,NOT,,,,,they don’t want you following people because they don’t like conservatives sickening  how biased twitter’s management is
32942,@USER He is doing life tho😑,NOT,,,,,he is doing life tho
74285,@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP,NOT,,,,,its so very important between now and the midterms to get the word out that all the  want people of color to believe is they support them  which as you know is so false how can the word spread even more to those who need to know
77319,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,OFF,TIN,IND,IND,,antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached
30517,@USER @USER @USER Have you seen or listened to your ANTIFA pals?,NOT,,,,,have you seen or listened to your antifa pals
69077,@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.,NOT,,,,,in case of antifa take a little bat or something good for you more of should do that kind of thing
67758,@USER Your titles scare me a little bit. ;-),NOT,,,,,your titles scare me a little bit
35944,@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,NOT,,,,,gteradicating hiv and malaria in the middle of africa  good bloody luck
48223,@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli,NOT,,,,,the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade
